Periodo,Año,Mes,Municipio,Homicidio doloso,Homicidio culposo,Feminicidio,Otros delitos que atentan contra la vida y la integridad corporal,Total
Febrero 2025,2025,Febrero,Juan José Ríos,0,0,0,1,1
Marzo 2025,2025,Marzo,Ahome,2,8,0,6,16
Marzo 2025,2025,Marzo,Angostura,1,1,0,1,3
Marzo 2025,2025,Marzo,Badiraguato,2,0,0,0,2
Marzo 2025,2025,Marzo,Concordia,5,1,0,0,6
Marzo 2025,2025,Marzo,Cosalá,0,0,0,1,1
Marzo 2025,2025,Marzo,Culiacán,68,10,1,10,89
Marzo 2025,2025,Marzo,Choix,0,0,0,0,0
Marzo 2025,2025,Marzo,Elota,7,0,0,2,9
Marzo 2025,2025,Marzo,Escuinapa,2,2,0,1,5
Marzo 2025,2025,Marzo,El Fuerte,0,2,0,4,6
Marzo 2025,2025,Marzo,Guasave,1,9,0,2,12
Marzo 2025,2025,Marzo,Mazatlán,9,3,0,32,44
Marzo 2025,2025,Marzo,Mocorito,0,1,0,0,1
Marzo 2025,2025,Marzo,Rosario,1,2,0,0,3
Marzo 2025,2025,Marzo,Salvador Alvarado,2,2,0,0,4
Marzo 2025,2025,Marzo,San Ignacio,0,0,0,1,1
Marzo 2025,2025,Marzo,Sinaloa,1,3,0,2,6
Marzo 2025,2025,Marzo,Navolato,8,3,1,0,12
Marzo 2025,2025,Marzo,Eldorado,0,0,0,0,0
Marzo 2025,2025,Marzo,Juan José Ríos,0,0,0,2,2
Abril 2025,2025,Abril,Ahome,3,9,0,8,20
Abril 2025,2025,Abril,Angostura,0,1,0,1,2
Abril 2025,2025,Abril,Badiraguato,0,2,0,2,4
Abril 2025,2025,Abril,Concordia,0,0,1,0,1
Abril 2025,2025,Abril,Cosalá,0,0,0,0,0
Abril 2025,2025,Abril,Culiacán,62,8,3,4,77
Abril 2025,2025,Abril,Choix,0,1,0,2,3
Abril 2025,2025,Abril,Elota,5,2,0,2,9
Abril 2025,2025,Abril,Escuinapa,3,2,0,0,5
Abril 2025,2025,Abril,El Fuerte,1,3,0,1,5
Abril 2025,2025,Abril,Guasave,1,4,0,3,8
Abril 2025,2025,Abril,Mazatlán,8,9,1,20,38
Abril 2025,2025,Abril,Mocorito,3,2,0,1,6
Abril 2025,2025,Abril,Rosario,2,1,1,1,5
Abril 2025,2025,Abril,Salvador Alvarado,1,1,0,4,6
Abril 2025,2025,Abril,San Ignacio,1,1,0,0,2
Abril 2025,2025,Abril,Sinaloa,0,0,0,0,0
Abril 2025,2025,Abril,Navolato,9,3,0,0,12
Abril 2025,2025,Abril,Eldorado,1,0,0,0,1
Abril 2025,2025,Abril,Juan José Ríos,0,1,0,2,3
Mayo 2025,2025,Mayo,Ahome,2,7,1,9,19
Mayo 2025,2025,Mayo,Angostura,3,2,0,0,5
Mayo 2025,2025,Mayo,Badiraguato,5,0,0,0,5
Mayo 2025,2025,Mayo,Concordia,0,1,0,0,1
Mayo 2025,2025,Mayo,Cosalá,0,0,0,1,1
Mayo 2025,2025,Mayo,Culiacán,77,9,1,8,95
Mayo 2025,2025,Mayo,Choix,3,0,0,0,3
Mayo 2025,2025,Mayo,Elota,14,2,0,5,21
Mayo 2025,2025,Mayo,Escuinapa,1,1,0,1,3
Mayo 2025,2025,Mayo,El Fuerte,0,0,0,3,3
Mayo 2025,2025,Mayo,Guasave,1,4,0,3,8
Mayo 2025,2025,Mayo,Mazatlán,15,10,0,22,47
Mayo 2025,2025,Mayo,Mocorito,10,0,0,1,11
Mayo 2025,2025,Mayo,Rosario,0,2,0,0,2
Mayo 2025,2025,Mayo,Salvador Alvarado,1,1,0,3,5
Mayo 2025,2025,Mayo,San Ignacio,2,0,0,1,3
Mayo 2025,2025,Mayo,Sinaloa,0,4,0,0,4
Mayo 2025,2025,Mayo,Navolato,4,3,0,2,9
Mayo 2025,2025,Mayo,Eldorado,0,1,0,0,1
Mayo 2025,2025,Mayo,Juan José Ríos,2,1,0,0,3
Junio 2025,2025,Junio,Ahome,1,5,0,8,14
Junio 2025,2025,Junio,Angostura,2,1,0,0,3
Junio 2025,2025,Junio,Badiraguato,0,0,0,3,3
Junio 2025,2025,Junio,Concordia,1,1,0,1,3
Junio 2025,2025,Junio,Cosalá,0,0,0,0,0
Junio 2025,2025,Junio,Culiacán,100,19,2,6,127
Junio 2025,2025,Junio,Choix,0,0,0,1,1
Junio 2025,2025,Junio,Elota,2,1,0,3,6
Junio 2025,2025,Junio,Escuinapa,2,3,1,1,7
Junio 2025,2025,Junio,El Fuerte,2,2,0,2,6
Junio 2025,2025,Junio,Guasave,1,4,0,4,9
Junio 2025,2025,Junio,Mazatlán,17,4,1,27,49
Junio 2025,2025,Junio,Mocorito,7,0,1,0,8
Junio 2025,2025,Junio,Rosario,0,2,0,1,3
Junio 2025,2025,Junio,Salvador Alvarado,2,0,0,2,4
Junio 2025,2025,Junio,San Ignacio,3,0,0,0,3
Junio 2025,2025,Junio,Sinaloa,0,1,0,0,1
Junio 2025,2025,Junio,Navolato,15,0,0,2,17
Junio 2025,2025,Junio,Eldorado,1,0,0,0,1
Junio 2025,2025,Junio,Juan José Ríos,0,1,0,2,3
